600,600,tempo:0.033452,76517,94051908697104
1000,1000,tempo:0.129421,357315,140723162004872
1400,1400,tempo:0.359232,560553,104590893161488
1800,1800,tempo:0.766396,1110850,97340432239632
2200,2200,tempo:1.402037,1915508,128505740377856
2600,2600,tempo:2.312935,3761436,140737325672904
3000,3000,tempo:3.549753,6241720,123295083118336
4096,4096,tempo:9.129774,13430550,137227965415168
6144,6144,tempo:30.766878,34405131,139318293282560
8192,8192,tempo:75.218827,131799824,125533855792896
10240,10240,tempo:149.940902,369200377,129714160995758
